[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] MoveABCheck - 2168250Receive -2168250
[02:28:30] [InShuttle] Move to Turn Position
[02:28:30] MoveABCheck - 2168250Receive -2168250
[02:28:30] [InShuttle] Move to LoadingPos action
[02:28:30] [InShuttle] Move to Loading Position
[02:28:30] MoveABCheck - 3557550Receive -3557550
[02:28:33] [InShuttle] Move to Loading Position
[02:28:33] MoveABCheck - 3557550Receive -3557550
[02:28:33] [InShuttle] Move LoadingPos Finish, Waiting
[02:28:40] [InShuttle] Loading Action
[02:28:40] [InShuttle] Loading Start
[02:28:46] AddError - InShuttle,Conveyor_Timeout,[Front Rack][PCB_ID:3] Lift->Site[Site3_F_DT3] UnLoading Finish FrontUnLoading Timeout. Check PCB/Sensors.
[02:28:46] Alarm - Conveyor_Timeout
[02:28:46] System Mode Changed (Auto -> Stop/Manual). Stop All Conveyors.
[02:29:11] PartClear - InShuttle
[02:29:11] Alarm Clear - InShuttle
[02:29:13] PartClear - InConveyor
[02:29:13] Alarm Clear - InConveyor
[02:29:13] Main - Main Click
[02:29:21] Main - PartClear Click
[02:29:26] Main - PartClear Click
[02:29:34] Main - Main Click
